Día	Punchaw
Avisar	Willay
Avisó a sus amigos de sus juegos.	Pukllasqanmanta masinkunaman willan.
Nieto	Willka
Su nieto es muy parecido a su madre.	Mamankaqllañam willkan.
Manco	Willu
Desde su nacimiento mi amigo es manco.	Yurisqanmantam willu masiyqa.
Volumen	Winara
La semilla de la cebada se mide en volumen.	Siwara muhutaqa winarapim tupunchik.
Litro	Winku
Todos los días ordeña tres litros de leche.	Kimsa winkutam sapa punchaw wakamanta lichita chawan.
Ñato	Winti
Llegó una mujer ñata.	Winti sinqa warmicham chayamun.
Jora para chicha.	Wiñapu
Se prepara chicha sabrosa de la jora de maíz.	Wiñapumanta miski aqatam ruranku.
Crecer de una vez.	Wiñariy.
Progresar	Wiñariy
Los(as) niños (as) crecen pronto.	Wawakuna chaylla wiñanku.
Las familias de mi pueblo ya progresan.	Llaqtaypi ayllukunaqa wiñarichkankuñam.
Crecer	Wiñay
Los niños crecen.	Wawakuna wiñanku.
Cintura	Wiqaw
La mujer tiene una cintura delgada.	Warmiqa Ilañu wiqawniyuq.
Lágrima	Wiqi
Llanto	Wiqi
Cuando tenemos alguna tristeza o dolor gotean lágrima de nuestros ojos.	Ima Ilakipas nanaypas rikurimuptin ñawinchikmanta wiqi sutumuyta qallaykun.
Loro	Wiqru
Los loros acabaron con el maíz de la primera campaña.	Michka saraykita wiqru tukurqusqa.
Sebo	Wira
Grasa	Wira
Se encuentra harta grasa en el corazón y en el intestino de los animales.	Uywapa sunqunpipas chunchullninpipas achkam wira tarikun.
Noble.	Wira qucha.
Distinguido.	Wira qucha.
Túpac Amaru defendió a los pobres.	Wira qucha Tupaq Amaru wakchakunatam amacharqa.
Labios	Wirpa
Algunas mujeres caminan con sus labios muy colorados.	Pukay pukay wirpayuq purinku wakin warmikunaqa.
Caña de maiz.	Wiru.
Mastican rompiendo la caña de maíz.	Wiruta pakispa kachunku.
Botar	Wischuy
Arrojar	Wischuy
Perder	Wischuy
Anoche perdí mi dinero.	Qullqiytam chisi wischurqusqani.
Sacar agua.	Wisiy.
Saca agua del porongo.	Puyñumanta yakuta wisin.
Vizcacha	Wiskacha
La carne de la vizcacha es muy agradable.	Wiskachapa aychanqa miskikullanmi.
Cucharon de madera.	Wisilla.
El cucharón de madera lo fabrican del aliso.	Lamrasmantam wisllata ruranku.
Diafragma	Wisqa
El diafragma se contrae hacia arriba y se relaja hacia abajo para que entre y salga el aire (a los pulmones).	Urayman hanayman wayra yaykusqan Iluqsimusqanmanhina wisqaqa kuyun.
Cojo	Wistu
Mi burro cojo no puede caminar.	Wistu asnuyqa manam puriyta atinchu.
Mochar	Wituy
Talar	Wituy
Ustedes cortaron el maizal.	Llapa sarata witurqusqankichik.
Profesor	Yachachiq
Enseña muy bien el profesor.	Allintam yachachin yachachiqqa.
Alumno	Yachakuq
Los alumnos vienen de los pueblitos alejados.	Karu Ilaqtachakunamantam yachakuqkuna hamunku.
Sabio	Yachaq
Sabe de todo el sabio.	Llapa imatam yachan yachaqqa.
Conocimiento	Yachay
Saber	Yachay
Aprender	Yachay
Aquel niño conoce mucho.	Yachaysapan wak warmaqa.
Conoce bien la lengua quechua.	Qichwa simita allintam yachan.
Escuela.	Yachay wasi.
Es muy hermosa mi escuela.	Sumaq sumaqmi yachay wasiyqa.
Agua	Yaku
Debemos hacer hervir bien el agua para beber.	Yakutaqa allintam timpuchina upyanapaq.
Tener sed.	Yakunayay.
Si tienes sed, bebe chichita.	Yakunayay hapisuptikiqa, aqachata upyaykuy.
Negro	Yana
El carbón es negro.	Killimsaqa yanam.
Ayudar	Yanapay
Colaborar	Yanapay
Todos los días debemos ayudar a nuestros padres.	Sapa punchawmi tayta mamanchikta yanapana.
En vano.	Yanqa.
Inútil	Yanqa
Vine en vano.	Yanqa hamuni.
Combustible	Yanta
Leña	Yanta
La leña arde bien.	Yantaqa allinta rupan.
Cocinar	Yanuy
Están cocinando papa para que coman todos.	Mikunankupaq papata yanuchkanku.
Sumar	Yapay
Adicionar	Yapay
Le agregó dos panes más.	Iskay tantatawan yapaykun.
Estrofa	Yarayma
La canción que sabemos tiene tres estrofas.	Yachasqanchik takiqa kimsa yaraymayuqmi.
Canal	Yarqa
Acequia	Yarqa
Abre la acequia para llevar agua a la chacra!	¡Yarqata aspiy chakraman yakupusanapaq!
Hambre	Yarqay
Llegan los días de hambre.	Yarqay punchawkuna chayamuchkanña.
Sangre	Yawar
Murió desangrado.	Yawarnin tukurquptin wañurqun.
Aguja grande.	Yawri.
La aguja que sirve para coser los costales es un tanto torcida.	Winkuniraqmi kustal siranapaq yawriqa.
Entrar	Yaykuy
Entra al salón de clases y espera al profesor.	Yachay wasiman yaykuspa yachachiqta suyay.
Yuca	Yuka
Es muy agradable la yuca frita.	Tiqtisqa yukaqa miskikullanmi.
Camarón	Yukra
Luego de atrapar los camarones en el mar llevan al mercado.	Yukrata mama quchamanta hapispanku qatuman apanku.
Engendrar	Yumay
Procrear	Yumay
Mis padres engendraron un varón.	Tayta mamay huk qarichatawan yumarqunku.
Semen	Yumay
Cuando el varón es niño no tiene semen.	Qari runa wawallaraq kaptinqa manam yumaynin kanraqchu.
Selva	Yunka
Se fueron a la selva a cosechar cacao.	Yunkata kakaw pallaq illanku.
Masa	Yunta
Yunta	Yunta
Con tres yuntas sembramos nuestra chacra.	Kimsa yuntakunawan chakraykuta yapuniku.
Contar	Yupay
¡Cuenta las gallinas!	¡Wallpakunata yupay!
Alabar	Yupaychay
Venerar	Yupaychay
Adorar	Yupaychay
Honrar	Yupaychay
Veneran demasiado al Señor en los pueblos.	Taytachatam sinchita yupaychanku Ilaqtakunapi.
Huella	Yupi
Agarraron al ladrón siguiendo sus huellas.	Yupinta qatipaspam suwata tarirqamunku.
Blanco	Yuraq
Cuando envejece el hombre sus cabellos comienzan a blanquearse como la nieve.	Runa machuyaptin chukchan ritihinam yuraqyamun.
Estaño.	Yuraq titi
Los envases de estaño es bueno para conservar los alimentos.	Yuraq titiqa allin mikuykuna waqaychanapaq.
Planta	Yura
Cortan la planta de molle con el machete.	Mulli yurata machitiwan kuchumunku.
Perdiz	Yutu
Vamos a atrapar las perdices.	Yututa tuqllarqusun.
Memoria	Yuyay
Recordar	Yuyay
Algunos profesores tienen buena memoria.	Yuyaysapam wakin yachachiqkunaqa.
Recuerda todo lo que hizo siendo niño.	Warma kaspam rurasqanta yuyan.
